name,attributeGroup,type,multiValue,featureRelevance,relevance,description,exampleValues,allowedValues,recommendedValues,reference
Breite Läufer,Maßangaben,INTEGER,False,"VARIATION_THEME, PRODUCT_DETAILS",HIGH,,,,,
Rutschhemmend beschichtet,Ausstattung & Funktionen,STRING,False,PRODUCT_DETAILS,LOW,,"nein, ja",,,
Schallschluckend,Ausstattung & Funktionen,STRING,False,PRODUCT_DETAILS,LOW,,"ja, nein",,,
Länge Brücken,Maßangaben,INTEGER,False,"VARIATION_THEME, PRODUCT_DETAILS",HIGH,,,,,
Trittschalldämmend,Ausstattung & Funktionen,STRING,False,PRODUCT_DETAILS,LOW,,"ja, nein",,,
Besondere Merkmale,Produktdetails,STRING,False,TITLE,MEDIUM,,"gewebt, mit Fransen, Kurzflor, gekettelt, besonders weich durch Microfaser, Kunstfell",,,
Material,Produktdetails,STRING,False,"VARIATION_THEME, FILTER, NAVIGATION, SEARCH",HIGH,,"Kunstfaser, Wolle, Baumwolle, Schurwolle, Materialmix",,Kokos,
Konfektion,Maßangaben,STRING,False,PRODUCT_DETAILS,HIGH,,Fixmaß,,,
Wohnstil,Allgemein,STRING,True,NAVIGATION,HIGH,,"Klassisch, Modern Design, Landhaus, Vintage, Lodge-Stil",,"Modern Design, Klassisch, Landhaus, Vintage",
Wohnraum,Allgemein,STRING,True,NAVIGATION,HIGH,,"Schlafzimmer, Wohnzimmer, Esszimmer, Kinderzimmer, Diele",,"Schlafzimmer, Wohnzimmer, Küche, Badezimmer, Esszimmer",
Abschluss der Teppichkante,Optik/Stil,STRING,True,PRODUCT_DETAILS,LOW,,"gekettelt, eingefasst",,,
Design,Optik/Stil,STRING,True,PRODUCT_DETAILS,HIGH,,"uni, gemustert, meliert, orientalisch, Vintagedesign",,,
Länge Läufer,Maßangaben,INTEGER,False,"VARIATION_THEME, PRODUCT_DETAILS",HIGH,,,,,
Bordürenoptik,Optik/Stil,STRING,False,PRODUCT_DETAILS,LOW,,"uni, gemustert",,,
Themen,Allgemein,STRING,True,NAVIGATION,HIGH,,"Frühlingszeit, Herbstzeit, Sommerzeit, Winterzeit, erste eigene Wohnung",,"Weihnachten, Kundenliebling",
Gewicht,Produktdetails,FLOAT,False,PRODUCT_DETAILS,HIGH,,,,,
Breite Brücken,Maßangaben,INTEGER,False,"VARIATION_THEME, PRODUCT_DETAILS",HIGH,,,,,
Höhe,Maßangaben,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",HIGH,,,,,
Fußbodenheizungsgeeignet,Ausstattung & Funktionen,STRING,False,PRODUCT_DETAILS,MEDIUM,,"ja, nein",,,
Pflegehinweise,Pflegehinweis,STRING,False,PRODUCT_DETAILS,MEDIUM,,"pflegeleicht, waschbar, Handwäsche, Maschinenwäsche, Reinigung",,,
Herstellungsart,Produktdetails,STRING,False,PRODUCT_DETAILS,MEDIUM,,"maschinell gewebt, maschinell getuftet, maschinell zusammengesetzt, handgetuftet, handgewebt",,,
Anzahl Teile,Produktdetails,INTEGER,False,"VARIATION_THEME, PRODUCT_DETAILS",MEDIUM,,,,,
Rückenmaterial,Produktdetails,STRING,False,PRODUCT_DETAILS,MEDIUM,,"Polypropylen, Jute, Baumwolle, Latex, Wolle",,,
Markeninformationen,Produktdetails,STRING,True,PRODUCT_DETAILS,LOW,,"Inspiriert von aktuellen Wohntrends bietet myhome immer neue Ideen und vielfältige Einrichtungsprodukte mit Wohlfühlgarantie. Und das modern und stilvoll zu Top-Preisen., Seit 2001 begeistert uns Home affaire mit Landhausmöbeln zum Verlieben. Ob modern, romantisch oder natürlich traditionell – der Fantasie für wunderschönes Einrichten sind kaum Grenzen gesetzt., bruno banani überzeugt durch Innovationen. Unkonventionell, innovativ und mit einem Augenzwinkern wird die Marke immer wieder neu inszeniert. Not for everybody – diese Kompromisslosigkeit unterscheidet bruno banani von anderen Marken. Und macht uns in allem, was wir tun, einzigartig., andas Nordic Interior steht für skandinavische Leichtigkeit, reduziertes klares Design und eine hochwertige Verarbeitung. Die Verbundenheit zur Natur drückt die Marke durch die Verwendung von nordischen Hölzern und natürlichen Materialien aus – eine Bereicherung des Zuhauses um skandinavisches Lebensgefühl., Delavita verbindet stilvolles Einrichten mit Verlässlichkeit, Komfort und Modernität. Angetrieben von dem Anspruch, das Zuhause als Lebensmittelpunkt zu bereichern und zu verschönern, bietet die Marke alles, um sich rundherum wohlzufühlen.",,,
Sprachen Bedienungs-/Aufbauanleitung,Product Compliance,STRING,True,,LOW,,"Deutsch (DE), Französisch (FR), Italienisch (IT), Norwegisch (NO), Litauisch (LT)",,,
Hinweis Orientteppich,Wissenswertes,STRING,True,PRODUCT_DETAILS,LOW,,"Berberteppiche sind handgeknüpfte Teppiche aus nordafrikanischen Regionen. Sie haben einen hohen Flor aus naturfarbenen, weichen, aber fast dochtartigen und gegenüber Orientteppichen wesentlich gröberen Wollfäden. Dadurch haben sie auch eine deutlich geringere Knotenzahl pro Quadratmeter. Berberteppiche sind traditionell oft einfarbig oder minimal gemustert, modernere sind mit beige-braunen Bordüren oder Medaillons gezeichnet.",,,
Hinweis Material,Qualitätshinweise,STRING,True,PRODUCT_DETAILS,LOW,,"Synthetische Fasern sind pflegeleicht und strapazierfähig. Da Kunstfasern kaum Feuchtigkeit aufnehmen, lassen sie sich sehr gut reinigen. Auch eine Nassreinigung dient praktisch nur zum „Abwischen“ und die Feuchtigkeit dringt nicht in die Fasern ein. Wenn Sie auf der Suche nach einem pflegeleichten, sehr strapazierfähigen Teppich sind, dann sehen Sie sich diese Teppiche an., Als reine Schurwolle wird nur solche Wolle bezeichnet, die von lebenden, gesunden Schafen geschoren wurde., Wolle ist weich und hautfreundlich. Zudem ist sie wärmeisolierend und daher besonders geeignet für eine fußwarme Wohnatmosphäre. Wolle reguliert zudem sehr gut Feuchtigkeit und beeinflusst damit aktiv das Raumklima. Neue Wollteppiche neigen bei einem flauschigen Flor öfter zur Flusenbildung, welche mit der Nutzungsdauer abnimmt, aber nicht vollständig abzustellen sein wird., Baumwolle ist weich und hautfreundlich sowie bei richtiger Pflege weitgehend allergikerfreundlich. Ebenso wie viele andere Naturfasern ist Baumwolle atmungsaktiv und kann durch Aufnahme und Abgabe von Feuchtigkeit das Raumklima positiv unterstützen. Baumwollfasern sind zudem sehr widerstandsfähig und laden sich nur wenig",,,
Anlässe,Allgemein,STRING,True,,LOW,,"Weihnachten, Valentinstag, Ferien, Ostern, Urlaub",,,
Designerstellungsart,Optik/Stil,STRING,True,PRODUCT_DETAILS,LOW,,"gewebt, gedruckt",,,
Oberflächenbeschaffenheit,Ausstattung & Funktionen,STRING,True,PRODUCT_DETAILS,MEDIUM,,"strapazierfähig, weich & kuschelig",,,
Farbe,Produktdetails,STRING,False,"VARIATION_THEME, TOPINFO, PRODUCT_DETAILS",HIGH,,"grau, beige, braun, rot, natur",,,
Grundfarbe,Produktdetails,STRING,True,FILTER,HIGH,,,"lila, gelb, natur, schwarz, grün, silberfarben, grau, blau, braun, orange, weiß, goldfarben, rot, bunt, rosa",,
Zielgruppe,Allgemein,STRING,False,NAVIGATION,HIGH,,,"zielgruppenunabhängig, Babys, Jugendliche, Kinder, Erwachsene",,
Geschlecht,Allgemein,STRING,False,NAVIGATION,MEDIUM,,,"neutral, männlich, weiblich",,
